                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    305,                0.58466,                0.38925,                0.90853,                0.81804,                0.79756,                0.83058,                 0.4941,                 1.5906,                 1.3554,                 1.8159,             0.00055372,             0.00055372,             0.00055372
                    306,                0.64318,                0.41203,                0.92207,                0.85199,                0.78566,                0.83746,                0.50661,                 1.5633,                 1.3875,                  1.782,             0.00055189,             0.00055189,             0.00055189
                    307,                0.65246,                0.41286,                0.92685,                0.87728,                0.76853,                0.84092,                0.50762,                 1.5608,                 1.3764,                 1.7633,             0.00055006,             0.00055006,             0.00055006
                    308,                0.62095,                0.39273,                0.92458,                0.85845,                 0.8014,                0.84145,                0.49442,                 1.5539,                 1.3692,                 1.7592,             0.00054822,             0.00054822,             0.00054822
                    309,                0.60997,                0.39531,                0.91378,                0.86947,                0.80034,                0.83745,                0.49389,                  1.576,                 1.4087,                 1.7763,             0.00054639,             0.00054639,             0.00054639
                    310,                0.59499,                 0.3875,                0.90823,                 0.8351,                0.79135,                 0.8168,                0.48236,                 1.6053,                 1.4249,                 1.8178,             0.00054456,             0.00054456,             0.00054456
                    311,                0.61886,                0.39206,                0.90936,                0.77486,                0.83107,                 0.8171,                0.50338,                 1.5983,                 1.3241,                 1.8039,             0.00054272,             0.00054272,             0.00054272
                    312,                0.63133,                0.41152,                0.92711,                0.76498,                0.81753,                0.83227,                0.50716,                 1.5853,                 1.2722,                 1.8045,             0.00054089,             0.00054089,             0.00054089
                    313,                0.58883,                0.38661,                   0.91,                  0.789,                0.80585,                 0.8396,                0.50276,                 1.5768,                 1.2383,                 1.8001,             0.00053906,             0.00053906,             0.00053906
                    314,                0.55828,                0.38527,                0.89647,                0.81741,                0.83279,                0.84523,                 0.4921,                 1.5643,                 1.2168,                 1.7944,             0.00053722,             0.00053722,             0.00053722
                    315,                 0.6097,                0.40379,                0.92475,                0.81301,                0.83715,                0.83118,                0.47667,                  1.587,                 1.1944,                 1.8223,             0.00053539,             0.00053539,             0.00053539
                    316,                 0.6193,                0.39573,                0.93247,                0.83062,                0.79535,                0.82117,                0.48762,                 1.6204,                  1.305,                 1.8753,             0.00053356,             0.00053356,             0.00053356
                    317,                0.62308,                0.40953,                0.92683,                0.79902,                0.83109,                0.82307,                0.48555,                 1.6245,                 1.3848,                 1.9079,             0.00053172,             0.00053172,             0.00053172
                    318,                0.60255,                0.38953,                0.92417,                0.82016,                0.81506,                0.82561,                0.47749,                 1.6444,                 1.4227,                 1.8962,             0.00052989,             0.00052989,             0.00052989
                    319,                0.58933,                0.38482,                0.90598,                 0.8601,                0.81184,                0.83142,                0.48907,                 1.6405,                 1.4166,                 1.9004,             0.00052806,             0.00052806,             0.00052806
                    320,                0.62435,                0.39226,                0.91114,                0.85761,                 0.8156,                0.82678,                0.49313,                  1.612,                 1.3846,                 1.8823,             0.00052623,             0.00052623,             0.00052623
                    321,                0.61354,                0.39767,                0.91214,                0.83615,                 0.8233,                0.83108,                0.49716,                  1.594,                 1.3632,                 1.8538,             0.00052439,             0.00052439,             0.00052439
                    322,                0.63062,                0.40483,                  0.921,                0.76585,                0.85031,                0.83711,                0.49732,                 1.6225,                  1.328,                 1.8655,             0.00052256,             0.00052256,             0.00052256
                    323,                0.60818,                0.39875,                0.89989,                0.78768,                0.80122,                0.84918,                0.49101,                 1.6336,                 1.2599,                 1.8829,             0.00052073,             0.00052073,             0.00052073
                    324,                0.61631,                0.39141,                 0.9166,                0.88654,                0.70423,                0.84536,                0.49568,                 1.6248,                 1.3048,                 1.8732,             0.00051889,             0.00051889,             0.00051889
                    325,                0.58617,                 0.3754,                0.90994,                0.79722,                0.72017,                0.83501,                0.49023,                 1.6186,                  1.303,                 1.8642,             0.00051706,             0.00051706,             0.00051706
                    326,                0.62424,                0.40898,                0.91947,                0.75269,                0.81775,                0.84865,                0.49502,                 1.6275,                 1.2499,                 1.8506,             0.00051523,             0.00051523,             0.00051523
                    327,                0.62537,                0.40216,                0.91809,                0.71411,                0.84877,                0.84437,                 0.4877,                 1.6227,                 1.2887,                 1.8385,             0.00051339,             0.00051339,             0.00051339
                    328,                0.59563,                0.38761,                0.91201,                0.83978,                0.81026,                0.82586,                0.48007,                 1.5689,                 1.2626,                 1.7921,             0.00051156,             0.00051156,             0.00051156
