                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.1404,                0.81608,                 1.1466,                0.83424,                0.69356,                0.75576,                0.40347,                 1.6102,                 1.6624,                 1.7936,               0.001012,               0.001012,               0.001012
                     56,                 1.1386,                0.83501,                 1.1538,                0.68997,                0.67162,                0.77299,                0.42739,                 1.5961,                 1.6811,                 1.7374,              0.0010102,              0.0010102,              0.0010102
                     57,                 1.1175,                0.81715,                 1.1328,                0.70214,                0.71272,                0.78727,                0.46522,                 1.5591,                 1.4986,                 1.6956,              0.0010083,              0.0010083,              0.0010083
                     58,                 1.1063,                0.80757,                   1.14,                0.75985,                0.67433,                0.73575,                0.39956,                 1.6256,                 1.5542,                 1.7583,              0.0010065,              0.0010065,              0.0010065
                     59,                 1.0987,                0.80608,                 1.1266,                0.80953,                0.66343,                0.76056,                0.41915,                 1.6422,                 1.4932,                 1.8089,              0.0010047,              0.0010047,              0.0010047
                     60,                 1.1083,                0.81306,                 1.1399,                0.90878,                0.69591,                0.78182,                 0.4537,                 1.6463,                 1.5298,                 1.8173,              0.0010028,              0.0010028,              0.0010028
                     61,                 1.0932,                 0.7553,                 1.1195,                0.79269,                0.76525,                0.77849,                0.44204,                  1.627,                 1.5901,                 1.8169,               0.001001,               0.001001,               0.001001
                     62,                 1.0632,                0.76952,                 1.1201,                0.76452,                0.77959,                0.79286,                0.43948,                 1.6322,                 1.4932,                 1.7782,             0.00099918,             0.00099918,             0.00099918
                     63,                 1.0563,                0.75044,                 1.1065,                0.76268,                0.74434,                0.78038,                0.44439,                 1.6083,                 1.4544,                 1.7365,             0.00099734,             0.00099734,             0.00099734
                     64,                 1.0527,                0.78391,                 1.1024,                0.75833,                 0.7445,                0.75739,                0.43024,                 1.6529,                 1.4783,                 1.7531,             0.00099551,             0.00099551,             0.00099551
                     65,                 1.0405,                0.75655,                 1.0953,                0.79832,                0.71783,                0.75887,                0.46237,                 1.6797,                 1.4432,                 1.8083,             0.00099368,             0.00099368,             0.00099368
                     66,                 1.0534,                0.74909,                 1.1027,                0.88929,                0.66483,                0.78002,                0.46227,                 1.7061,                  1.552,                 1.8295,             0.00099185,             0.00099185,             0.00099185
                     67,                 1.0805,                0.74768,                 1.1054,                0.74941,                0.70235,                0.78005,                0.45621,                 1.7655,                  1.695,                 1.8926,             0.00099001,             0.00099001,             0.00099001
                     68,                  1.044,                0.72423,                 1.0965,                0.77658,                0.76142,                0.78598,                0.45842,                 1.6923,                 1.3842,                 1.8007,             0.00098818,             0.00098818,             0.00098818
                     69,                 1.0338,                0.71816,                 1.1035,                0.72533,                0.80639,                0.76321,                0.45356,                 1.6296,                 1.3935,                 1.7503,             0.00098635,             0.00098635,             0.00098635
                     70,                 1.0589,                0.77979,                 1.1249,                0.70243,                0.80843,                0.74593,                0.43692,                 1.6707,                  1.462,                 1.7998,             0.00098451,             0.00098451,             0.00098451
                     71,                0.98469,                0.70124,                 1.0553,                 0.7095,                0.75982,                0.76389,                0.45479,                 1.6334,                 1.4385,                  1.777,             0.00098268,             0.00098268,             0.00098268
                     72,                0.99341,                0.70607,                 1.0762,                0.73316,                0.76508,                0.73997,                0.41514,                 1.6043,                 1.5036,                 1.7661,             0.00098085,             0.00098085,             0.00098085
                     73,                 1.0259,                0.69613,                  1.095,                0.76123,                0.70733,                0.74897,                0.42187,                 1.6537,                 1.5534,                    1.8,             0.00097901,             0.00097901,             0.00097901
                     74,                 1.0348,                0.73425,                 1.1342,                0.78108,                0.68023,                0.77668,                0.45361,                 1.6276,                 1.5425,                 1.7545,             0.00097718,             0.00097718,             0.00097718
                     75,                 1.0606,                0.70981,                 1.1056,                0.69478,                0.77534,                0.78194,                0.46207,                 1.6262,                 1.4945,                 1.7749,             0.00097535,             0.00097535,             0.00097535
                     76,                 1.0321,                 0.7274,                 1.1052,                0.70746,                0.75211,                0.77333,                0.45578,                 1.5884,                 1.4692,                 1.7498,             0.00097351,             0.00097351,             0.00097351
                     77,                 1.0007,                0.70758,                 1.0795,                0.75682,                0.79404,                0.81099,                0.47515,                 1.5938,                 1.4025,                 1.7857,             0.00097168,             0.00097168,             0.00097168
                     78,                 1.0113,                0.72935,                 1.1079,                0.77015,                0.73026,                0.81111,                0.44983,                 1.6157,                 1.5318,                 1.7982,             0.00096985,             0.00096985,             0.00096985
                     79,                 1.0296,                0.70037,                 1.1052,                0.87286,                0.70857,                0.81154,                0.43991,                 1.5993,                 1.6451,                 1.8025,             0.00096801,             0.00096801,             0.00096801
                     80,                  1.011,                0.70943,                 1.1015,                0.90711,                0.67036,                0.77856,                0.44728,                 1.6212,                 1.4735,                 1.8173,             0.00096618,             0.00096618,             0.00096618
                     81,                  1.016,                0.69787,                 1.0844,                0.76058,                 0.7685,                0.81368,                0.47264,                  1.579,                 1.4276,                 1.7597,             0.00096435,             0.00096435,             0.00096435
                     82,                0.98002,                0.66231,                 1.0607,                0.90473,                0.75696,                0.83684,                0.47965,                 1.5701,                 1.2952,                 1.7135,             0.00096251,             0.00096251,             0.00096251
                     83,                 1.0236,                0.67829,                 1.0752,                0.88005,                0.78347,                0.82021,                0.50384,                 1.5912,                 1.3013,                  1.709,             0.00096068,             0.00096068,             0.00096068
                     84,                 1.0142,                0.68717,                 1.0939,                0.86681,                0.74233,                0.81544,                0.45839,                 1.6036,                 1.2712,                 1.7551,             0.00095885,             0.00095885,             0.00095885
                     85,                 0.9512,                 0.6514,                 1.0594,                0.81359,                0.69951,                0.78955,                0.44061,                 1.6548,                 1.2946,                 1.8456,             0.00095702,             0.00095702,             0.00095702
                     86,                 0.9744,                0.65643,                 1.0568,                0.76639,                0.71533,                0.80938,                0.46158,                 1.6043,                 1.3703,                 1.7558,             0.00095518,             0.00095518,             0.00095518
                     87,                 1.0252,                0.68482,                 1.0831,                0.74474,                0.74055,                0.79477,                0.45902,                 1.6141,                 1.4014,                 1.7526,             0.00095335,             0.00095335,             0.00095335
                     88,                 1.0113,                0.68948,                 1.1126,                0.83223,                0.78455,                0.83009,                0.49133,                 1.6099,                 1.2875,                  1.758,             0.00095152,             0.00095152,             0.00095152
                     89,                0.94455,                0.66446,                 1.0778,                0.80934,                 0.8004,                0.83252,                 0.4684,                 1.6764,                 1.2154,                 1.8373,             0.00094968,             0.00094968,             0.00094968
                     90,                 1.0163,                0.65506,                 1.0955,                0.90203,                0.77974,                0.83731,                0.44894,                  1.733,                  1.317,                  1.831,             0.00094785,             0.00094785,             0.00094785
                     91,                0.99511,                0.64666,                 1.0938,                0.82616,                0.77372,                0.82421,                0.46116,                  1.641,                 1.4516,                 1.7193,             0.00094602,             0.00094602,             0.00094602
                     92,                0.99092,                0.67923,                 1.0839,                0.90154,                0.72236,                0.80427,                0.47205,                 1.6504,                 1.4301,                 1.7374,             0.00094418,             0.00094418,             0.00094418
